category	種別	説明	使用場面
お肉	基本	お肉に関する投稿	メインコンテンツ、お肉の美味しさ
日常	基本	日常の出来事	日常の出来事、生活の様子
季節	基本	季節感のある投稿	季節の変わり目、イベント
朝食	時間帯	朝食に関する投稿	朝の時間帯、朝食の楽しさ
昼食	時間帯	昼食に関する投稿	昼の時間帯、昼食の楽しさ
夜食	時間帯	夜食に関する投稿	夜の時間帯、夜食の楽しさ
おやつ	時間帯	おやつに関する投稿	午後の時間帯、おやつの楽しさ
焼肉	料理・食材	焼肉に関する投稿	焼肉店、バーベキュー
ステーキ	料理・食材	ステーキに関する投稿	高級レストラン、特別な日
ハンバーグ	料理・食材	ハンバーグに関する投稿	家庭料理、子供向け
カレー	料理・食材	カレーに関する投稿	家庭料理、スパイス料理
ラーメン	料理・食材	ラーメンに関する投稿	麺類、夜食
グルメ	食・料理系	美食家の視点	高級なお肉、特別な料理
レストラン	場所・シーン	レストランに関する投稿	外食、特別な日
家庭料理	場所・シーン	家庭料理に関する投稿	手作り、家族の味
バーベキュー	場所・シーン	バーベキューに関する投稿	アウトドア、屋外
お弁当	場所・シーン	お弁当に関する投稿	持ち運び、手作り
コンビニ	場所・シーン	コンビニに関する投稿	手軽な食事、24時間
誕生日	イベント・特別	誕生日に関する投稿	誕生日、記念日
クリスマス	イベント・特別	クリスマスに関する投稿	クリスマス時期
バレンタイン	イベント・特別	バレンタインに関する投稿	バレンタイン時期
ハロウィン	イベント・特別	ハロウィンに関する投稿	ハロウィン時期
お正月	イベント・特別	お正月に関する投稿	お正月時期
座右の銘	名言・教訓	座右の銘に関する投稿	人生の教訓、心に響く言葉
格言	名言・教訓	格言に関する投稿	古くからの知恵、教訓
名言	名言・教訓	名言に関する投稿	偉人の言葉、心に響くメッセージ
ことわざ	名言・教訓	ことわざに関する投稿	古くからの知恵、教訓
教訓	名言・教訓	教訓に関する投稿	人生の教え、学び